//  command   cancel ani guage tobi check  
// 80          D 00001101  50    0  0 0 0 // 投げ
//  5        2+D 00000101 00000001  150   0  0 0 0  // ３ゲージ
// 5        6216C 10000101 00000001   112   0      2 0 0  // コマンド投げ
 4      21421C 20000101 00000001  137   65535  1  0 0  // 双子乱舞
 5      16213C 20000101 00000001  176   10000  0 31 0  // ﾄﾞﾗｯｸﾞｵﾝｲﾝｽﾄｰﾙ
 6      63214C 10000101 00000001  480   0      2 0 0  // コマンド投げ
 7      63214C 20000101 00000001   80   65535  1 71 0  // 
 9      41236C 20000101 00000001  200   65535  0  0 0  // ミスター陳

//254      0406A  00000101 00000001  490   0      0 0 0  // 爆弾置き
//255      0406B  00000101 00000001  491   0      0 0 0  // 
//256      0406C  00000101 00000001  492   0      0 0 0  // 


256      4+B  00000101 00000000  465   0      2 0 0  // ２段技の6B
357        3+C 00000101 00000000   521  0   1 0 0  // ゴルフアッパー
358        3+C 00000101 00000000   520  0   0 0 0  // ゴルフアッパー

//354        C    10000101 00000001   455   0   0 0 0  // 立ち大テスト
//354         3  00001100 00000100   385   0  0 0 0  // しゃがみ前歩き

360        236A 10000010 00000001  422   0      2 0 3  // アンバー移動
361        236B 10000010 00000001  421   0      2 0 3  // 
362        236C 20000010 00000001  418   10000  2 0 3  // 
363        236C 10000010 00000001  421   0      2 0 3  // 

//35        214A 10000101 00000001   77   0      1 71 0  // 翡翠への命令
//36        214B 10000101 00000001   78   0      1 71 0  // 
//37        214C 10000101 00000001   79   0      1 71 0  // 
34      63214C 20000010 00000001   413   65535  1 71 0  // 
35        214A 10000101 00000001   600   0      1 71 0  // 翡翠への攻撃命令
36        214B 10000101 00000001   601   0      1 71 0  // 
37        214C 10000101 00000001   602   0      1 71 0  // 

//40     214A 10000101 00000001  109   0      1 01 0  // 新琥珀への指示
//41     214B 10000101 00000001  110   0      1 61 0  // 
//42     214C 10000101 00000001  111   0      1 61 0  // 

//65        236A 00000111 00000001  120   0  0 0 0  // 突進
//66        236B 00000111 00000001  121   0  0 0 0  // 
//67        236C 00000111 00000001  122   0  0 0 0  // 

46        236A 10010101 00000001  550   0      1 0 0  // 翡翠へ指示2
47        236B 10010101 00000001  551   0      1 0 0  // 
48        236C 10010101 00000001  552   0      1 0 0  // 
161         236D 10011101 00000001  553   0      1 1 0  // セットアップ
//162         236D 10011101 00000001  554   0      1 0 0  // セットアップ解除

38        214A 10000010 00000001   605   0      1 71 0  // 翡翠への命令
39        214B 10000010 00000001   606   0      1 71 0  // 
40        214C 10000010 00000001   607   0      1 71 0  // 

380        236A 10000010 00000001   610   0      1 71 0  // 空中　翡翠へ指示
381        236B 10000010 00000001   611   0      1 71 0  // 
382        236C 10000010 00000001   612   0      1 71 0  // 
1        236D 10001010 00000001   613   0      1 1 0  // 
//2        236D 10001010 00000001   614   0      1 0 0  // 

50        236A 10010101 00000001  470   0      2 0 0  // 居合い飛び道具
51        236B 10010101 00000001  471   0      2 0 0  // 
52        236C 20000101 00000001  472   10000  2 0 0  // 
53        236C 10010101 00000001  471   0      2 0 0  // 

//50        236A 10010101 00000001  170   0      0 0 0  // 居合い
//51        236B 10010101 00000001  171   0      0 0 0  // 
//52        236C 20000101 00000001  172   10000  0 0 0  // 
//53        236C 10010101 00000001  171   0      0 0 0  // 

55        214A 10000101 00000001   402   0   2 0 0  // 当身
56        214B 10000101 00000001   388   0   2 0 0  // 当身
57        214C 20000101 00000001   400   10000   2 0 0  // 当身テスト
58        214C 10000101 00000001   388   0   2 0 0  // ＥＸ当身


//55        214A 10000101 00000001   96   0      2 0 0  // まじかるアンバー地上
//56        214B 10000101 00000001   97   0      2 0 0  // 
//57        214C 20000101 00000001   98   10000  2 0 0  // 
//58        214C 10000101 00000001   97   0      2 0 0  // 

60        214A 10000010 00000001  100   0      2 0 3  // まじかるアンバー
61        214B 10000010 00000001  425   0      2 0 3  // 
62        214C 20000010 00000001  102   10000  2 0 3  // 
63        214C 10000010 00000001  425   0      2 0 3  // 

70       0202A 10000101 00000001  125   0      0 1 0  // もみのき
71       0202B 10000101 00000001  126   0      0 1 0  // 植木設置
72       0202C 20000101 00000001  127   10000  0 1 0  // さぼてん
73       0202C 10000101 00000001  126   0      0 1 0  // 
69   02020202C 20000101 00000001  128   15000  0 1 0  // ジョニー
68   0202020202C 20000101 00000001  459   15000  0 1 0  // 毒ジョニー


//85         1+D 11000101 00000000   71   0  0 0 0  // ブロッキング
//86         2+D 11000101 00000000   71   0  0 0 0  // 
//87           D 11000101 00000000   70   0  0 0 0  // 
//88         4+D 11000101 00000000   70   0  0 0 0  // 
//89           D 11000010 00000000   72   0  0 0 0  // 

90        0606 00001101 00000100   60   0  0 0 1  // 前ダッシュ
91        0404 00001101 00000100   61   0  0 0 0  // 後ダッシュ

95        0606 00000010 00000100   56   0  0 0 1  // 空中前ダッシュ
96        0404 00001010 00000100   57   0  0 0 1  // 
//97        0202 00000010 00000000   58   0  0 0 1  // 
10       6+A+B 00001101 01000100  60   0  0 0 1  // ダッシュ
11       4+A+B 00001101 01000100  61   0  0 0 0  // バックダッシュ
// 12       2+A+B 00001101 00000100  65   0  0 0 0  // 避け
13       6+A+B 00000010 01000100  56   0  0 0 1  // 空中ダッシュ（マクロ）
14       4+A+B 00001010 01000100  57   0  0 0 1  // 空中バックダッシュ（マクロ）
// 15       2+A+B 00001010 00000100  270   0  0 0 0  // 空中避け（仮）

130      0V9 00001101 00000100   63   0  0 0 0  // 空中後ダッシュ
131        0V8  00001101 00000100  360   0      0 0 0  // 垂直ハイジャンプ
299        0V9  00100010 00000100  267   0      0 0 0  // 二段ハイジャンプ

169        214D 11000101 01010000  235   5000  0 0 0  // 
170        214D 10000101 00000000  235   0  0 0 0  // 

//171       236D  11110101 00000000  239   0   0 0 0  // 立ちD派生
//172       236D  11110010 00000000  241   0   0 0 0  // 空中D
//173       236D  11110100 00000000  240   0   0 0 0  // 屈D


175         V+D 11001101 00101000  71   0  0 0 0  // ブロッキング関連
176           D 11001101 00101000  70   0  0 0 0  // 
3             D 11001010 00101000  72   0  0 0 0  // 




END

[TeamChangeData]
